Polarity,Id,Date,Query,User,Text,cleaned_text
4,5,Mon May 11 03:18:54 UTC 2009,kindle2,chadfu,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",ok first assesment kindle fucking rocks
4,6,Mon May 11 03:19:04 UTC 2009,kindle2,SIX15,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),youll love kindle ive mine months never looked back new big one huge need remorse
4,7,Mon May 11 03:21:41 UTC 2009,kindle2,yamarama,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),fair enough kindle think perfect
4,8,Mon May 11 03:22:00 UTC 2009,kindle2,GeorgeVHulme,@richardebaker no. it is too big. I'm quite happy with the Kindle2.,big im quite happy kindle
0,9,Mon May 11 03:22:30 UTC 2009,aig,Seth937,Fuck this economy. I hate aig and their non loan given asses.,fuck economy hate aig non loan given asses
4,10,Mon May 11 03:26:10 UTC 2009,jquery,dcostalis,Jquery is my new best friend.,jquery new best friend
4,11,Mon May 11 03:27:15 UTC 2009,twitter,PJ_King,Loves twitter,loves twitter
4,12,Mon May 11 03:29:20 UTC 2009,obama,mandanicole,how can you not love Obama? he makes jokes about himself.,love obama makes jokes
2,13,Mon May 11 03:32:42 UTC 2009,obama,jpeb,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,check video president obama white house correspondents dinner
0,14,Mon May 11 03:32:48 UTC 2009,obama,kylesellers,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",firmly believe obamapelosi zero desire civil charade slogan want destroy conservatism
4,15,Mon May 11 03:33:38 UTC 2009,obama,theviewfans,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",house correspondents dinner last night whoopi barbara amp sherri went obama got standing ovation
4,16,Mon May 11 05:05:58 UTC 2009,nike,MumsFP,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,watchin espnjus seen new nike commerical puppet lebronsht hilariouslmao
0,17,Mon May 11 05:06:22 UTC 2009,nike,vincentx24x,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",dear nike stop flywire shit waste science ugly love
4,18,Mon May 11 05:20:15 UTC 2009,lebron,cameronwylie,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",lebron best athlete generation time basketball related dont want get intersport debates
0,19,Mon May 11 05:20:28 UTC 2009,lebron,luv8242,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,talking guy last night telling die hard spurs fan also told hates lebron james
4,20,Mon May 11 05:21:04 UTC 2009,lebron,mtgillikin,i love lebron. http://bit.ly/PdHur,love lebron
0,21,Mon May 11 05:21:37 UTC 2009,lebron,ursecretdezire,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",lebron beast im still cheering atil end
4,22,Mon May 11 05:21:45 UTC 2009,lebron,Native_01,@Pmillzz lebron IS THE BOSS,lebron boss
4,23,Mon May 11 05:22:03 UTC 2009,lebron,princezzcutz,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",lebron hometown hero lol love lakers lets go cavs lol
4,24,Mon May 11 05:22:12 UTC 2009,lebron,peterlikewhat,lebron and zydrunas are such an awesome duo,lebron zydrunas awesome duo
4,25,Mon May 11 05:22:37 UTC 2009,lebron,emceet,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,lebron beast nobody nba comes even close
4,26,Mon May 11 06:02:24 UTC 2009,iphone app,CocoSavanna,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,downloading apps iphone much fun literally app anything
4,33,Mon May 11 19:47:29 UTC 2009,visa,DreambigRadio,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",good news call visa office saying everything finewhat relief sick scams stealing
4,34,Mon May 11 19:49:21 UTC 2009,fredwilson,andrewwatson,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),awesome come back via
4,35,Mon May 11 19:50:07 UTC 2009,fredwilson,fredwilson,In montreal for a long weekend of R&amp;R. Much needed.,montreal long weekend rampr much needed
4,46,Thu May 14 02:58:07 UTC 2009,"""booz allen""",JoeSchueller,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,booz allen hamilton bad ass homegrown social collaboration platform way cool ttiv
4,47,Thu May 14 02:58:23 UTC 2009,"""booz allen""",scottabel,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,mluc customer innovation award winner booz allen hamilton
4,49,Thu May 14 05:24:50 UTC 2009,40d,JustMe_D,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",current use nikon love much canon dd chose video feature mistake
2,50,Thu May 14 05:25:04 UTC 2009,40d,hiteshbagai,need suggestions for a good IR filter for my canon 40D ... got some? pls DM,need suggestions good ir filter canon got pls dm
2,117,Sat May 16 16:18:36 UTC 2009,google,Annimallover,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,checked google business blip shows second entry huh good ba
4,118,Sat May 16 16:19:04 UTC 2009,google,J_Holl,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",google always good place look shouldve mentioned worked mustang w dad
0,119,Sat May 16 16:19:24 UTC 2009,google,vamsmack,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,played android google phone slide screen scares would break fucker fast still prefer iphone
0,120,Sat May 16 16:25:41 UTC 2009,aig,schroncd,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,us planning resume military tribunals guantanamo bay time trial aig execs chrysler debt holders
0,121,Sat May 16 22:42:07 UTC 2009,itchy,MarissaLeeD,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),omg bored amp tattoooos itchy help aha
0,122,Sat May 16 22:42:25 UTC 2009,itchy,robloposky,I'm itchy and miserable!,im itchy miserable
0,123,Sat May 16 22:42:44 UTC 2009,itchy,EdwinLValencia,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",im itchy maybe later lol
4,124,Sat May 16 23:48:15 UTC 2009,stanford,imusicmash,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,rt love nerdy stanford human biology videos makes miss school
4,125,Sat May 16 23:58:34 UTC 2009,lyx,drewloewe,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.",bit crazy steep learning curve lyx really good long docs anything shorter would insane
4,131,Sun May 17 15:05:03 UTC 2009,Danny Gokey,VickyTigger,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",im listening pyt danny gokey lt lt lt aww hes amazing lt much
4,132,Sun May 17 17:27:45 UTC 2009,sleep,babblyabbie,is going to sleep then on a bike ride:],going sleep bike ride
0,133,Sun May 17 17:27:49 UTC 2009,sleep,kisjoaquin,cant sleep... my tooth is aching.,cant sleep tooth aching
0,134,Sun May 17 17:28:02 UTC 2009,sleep,Whacktackular,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",blah blah blah old old plans today going back sleep guess
0,135,Sun May 17 17:29:50 UTC 2009,san francisco,Adrigonzo,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",glad didnt bay breakers today freaking degrees san francisco wtf
2,136,Sun May 17 17:30:19 UTC 2009,san francisco,sulu34,is in San Francisco at Bay to Breakers.,san francisco bay breakers
2,137,Sun May 17 17:30:23 UTC 2009,san francisco,schuyler,just landed at San Francisco,landed san francisco
2,138,Sun May 17 17:30:56 UTC 2009,san francisco,MattBragoni,San Francisco today.  Any suggestions?,san francisco today suggestions
0,139,Sun May 17 17:32:00 UTC 2009,aig,KennyTRoland,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,obama administration must stop bonuses aig ponzi schemers
0,140,Sun May 17 17:32:30 UTC 2009,aig,aMild,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,started think citi really deep sampt gonna survive turmoil gonna next aig
0,141,Sun May 17 17:32:36 UTC 2009,aig,Trazor1,ShaunWoo hate'n on AiG,shaunwoo haten aig
4,142,Sun May 17 17:35:17 UTC 2009,star trek,mimknits,@YarnThing you will not regret going to see Star Trek. It was AWESOME!,regret going see star trek awesome
2,143,Sun May 17 17:35:28 UTC 2009,star trek,GeeRen,On my way to see Star Trek @ The Esquire.,way see star trek esquire
2,144,Sun May 17 17:35:45 UTC 2009,star trek,checkyesjess,Going to see star trek soon with my dad.,going see star trek soon dad
0,145,Mon May 18 01:13:27 UTC 2009,Malcolm Gladwell,renano,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,annoying new trend internets people picking apart michael lewis malcolm gladwell nobody wants read
2,146,Mon May 18 01:14:41 UTC 2009,Malcolm Gladwell,kottkedotorg,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,bill simmons conversation malcolm gladwell
4,147,Mon May 18 01:14:47 UTC 2009,Malcolm Gladwell,davidm89,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,highly recommend malcolm gladwell
4,148,Mon May 18 01:15:17 UTC 2009,Malcolm Gladwell,livreal,Blink by malcolm gladwell amazing book and The tipping point!,blink malcolm gladwell amazing book tipping point
4,149,Mon May 18 01:16:12 UTC 2009,Malcolm Gladwell,mikearosso,Malcolm Gladwell might be my new man crush,malcolm gladwell might new man crush
0,150,Mon May 18 01:18:03 UTC 2009,espn,wendy93639,omg. The commercials alone on ESPN are going to drive me nuts.,omg commercials alone espn going drive nuts
4,151,Mon May 18 03:11:06 UTC 2009,"""twitter api""",ClayFranklin,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,playing twitter api sounds fun may need take class find new friend like generate results api code
2,152,Mon May 18 03:11:58 UTC 2009,"""twitter api""",cURLTesting,playing with cURL and the Twitter API,playing curl twitter api
4,153,Mon May 18 03:12:13 UTC 2009,"""twitter api""",ringerdrop,Hello Twitter API ;),hello twitter api
2,154,Mon May 18 03:12:18 UTC 2009,"""twitter api""",danserfaty,playing with Java and the Twitter API,playing java twitter api
0,155,Mon May 18 03:12:40 UTC 2009,"""twitter api""",raykolbe,@morind45 Because the twitter api is slow and most client's aren't good.,twitter api slow clients arent good
0,156,Mon May 18 03:13:03 UTC 2009,yahoo,CarolineVilas,yahoo answers can be a butt sometimes,yahoo answers butt sometimes
4,157,Mon May 18 05:07:16 UTC 2009,scrapbooking,rachelbegins,is scrapbooking with Nic =D,scrapbooking nic
4,172,Tue May 19 16:20:46 UTC 2009,wolfram alpha,leedscentlib,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,rt five things wolfram alpha better vastly different google
4,173,Wed May 20 02:37:09 UTC 2009,nike,sportsgirl505,just changed my default pic to a Nike basketball cause bball is awesome!!!!!,changed default pic nike basketball cause bball awesome
2,174,Wed May 20 02:38:27 UTC 2009,nike,MatrixSystems,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding",nike owns nba playoffs ads w lebron kobe carmelo adidas billups howard marketing branding
2,175,Wed May 20 02:38:45 UTC 2009,nike,cadburysgirl,"'Next time, I'll call myself Nike'",next time ill call nike
2,176,Wed May 20 02:38:50 UTC 2009,nike,AddictedToFresh,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT,new blog post nike sb dunk low premium white gum
0,177,Wed May 20 02:39:05 UTC 2009,nike,coreysmbpro,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(,rt told nike layoffs started today
4,178,Wed May 20 02:39:28 UTC 2009,nike,PRolivia,Back when I worked for Nike we had one fav word : JUST DO IT! :),back worked nike one fav word
4,179,Wed May 20 02:40:23 UTC 2009,nike,ErrantDreams,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9",way im totally inspired freaky nike commercial
2,192,Sat May 23 20:43:22 UTC 2009,weka,nikete,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.",giving weka app engine interface using bird strike data tests logo given
2,194,Sun May 24 16:18:48 UTC 2009,50d,bigdigit,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t",brand new canon eos mp dslr camera canon mm lens web technology thread brand new canon eos
4,195,Sun May 24 16:19:04 UTC 2009,50d,justinbettman,Class... The 50d is supposed to come today :),class supposed come today
0,196,Sun May 24 20:48:14 UTC 2009,lambda calculus,read0,needs someone to explain lambda calculus to him! :(,needs someone explain lambda calculus
0,197,Sun May 24 20:48:58 UTC 2009,lambda calculus,BAK3R,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,took graduate field exam computer science today nothing makes feel like idiot lambda calculus
4,198,Sun May 24 20:49:52 UTC 2009,east palo alto,SLICKSPIT,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......,shout outs east palo alto buildin karizmakaze cal gta also thanks profits doom universal hempz cracka
0,199,Sun May 24 20:50:32 UTC 2009,east palo alto,ckwright,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.",yeahhhhhhhhh wouldnt really lived east palo alto could avoided guess summer
4,204,Mon May 25 17:15:01 UTC 2009,stanford,souleaterjh,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!,great stanford course thanks making available public really helpful informative starting
2,205,Mon May 25 17:15:24 UTC 2009,stanford,susangao,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9",nvidia names stanfords bill dally chief scientist vp research
2,206,Mon May 25 17:15:43 UTC 2009,stanford,jimmy_chan2009,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo,new blog post harvard versus stanford wins
4,207,Mon May 25 17:17:04 UTC 2009,lakers,a_fio,@ work til 6pm... lets go lakers!!!,work til pm lets go lakers
0,208,Mon May 25 17:18:29 UTC 2009,north korea,luvslikepi,Damn you North Korea. http://bit.ly/KtMeQ,damn north korea
0,209,Mon May 25 17:19:05 UTC 2009,north korea,utsagrad123,Can we just go ahead and blow North Korea off the map already?,go ahead blow north korea map already
0,210,Mon May 25 17:19:14 UTC 2009,north korea,stabotage,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl",north korea please cease douchebaggery china doesnt even like anymore
0,211,Mon May 25 17:21:08 UTC 2009,pelosi,zed01,Why the hell is Pelosi in freakin China? and on whose dime?,hell pelosi freakin china whose dime
0,212,Mon May 25 17:23:55 UTC 2009,bailout,funky_old_man,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!",burning cash chrysler gm stop financial tsunami bailout means taking handout
0,213,Mon May 25 17:25:34 UTC 2009,insects,malcozer,insects have infected my spinach plant :(,insects infected spinach plant
0,214,Mon May 25 17:26:50 UTC 2009,insects,AntoineTheReaL,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects,wish could catch every mosquito world n burn em slowlythey bitin shit outta daymosquitos assholes insects
0,215,Mon May 25 17:27:05 UTC 2009,insects,jonwolpert,"just got back from church, and I totally hate insects.",got back church totally hate insects
0,216,Mon May 25 17:28:50 UTC 2009,mcdonalds,jachshore,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,got mcdonalds goddam eggs make sick yeah laker date go lakers much update well true suck
4,217,Mon May 25 17:29:39 UTC 2009,mcdonalds,MamiYessi,omgg i ohhdee want mcdonalds damn i wonder if its open lol =],omgg ohhdee want mcdonalds damn wonder open lol
0,218,Mon May 25 17:31:21 UTC 2009,exam,jvici0us,History exam studying ugh,history exam studying ugh
0,219,Mon May 25 17:31:43 UTC 2009,exam,enriquenieto,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",hate revision boring totally unprepared exam tomorrow things looking good
0,220,Mon May 25 17:31:45 UTC 2009,exam,Drummermatt_182,"Higher physics exam tommorow, not lookin forward to it much :(",higher physics exam tommorow lookin forward much
0,222,Mon May 25 17:32:11 UTC 2009,exam,filmcriticbeta,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",bank holiday yet im work exam season sucks
0,223,Mon May 25 17:34:40 UTC 2009,cheney,lvlocal,Cheney and Bush are the real culprits - http://fwix.com/article/939496,cheney bush real culprits
0,224,Mon May 25 17:34:51 UTC 2009,cheney,QCWofNC,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ,lifes bitch dick cheney p bipart tlot tcot hhrs gop dnc
0,225,Mon May 25 17:35:23 UTC 2009,cheney,jepaco,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",dick cheneys dishonest speech torture terror obama fred kaplan slate
0,226,Mon May 25 17:37:56 UTC 2009,republican,ImportantQuotes,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)",republican party bunch antiabortion zealots couldnt draw flies dump neal boortz radio
0,227,Mon May 25 17:46:06 UTC 2009,twitter api,fwhamm,is Twitter's connections API broken? Some tweets didn't make it to Twitter...,twitters connections api broken tweets didnt make twitter
0,228,Mon May 25 17:46:24 UTC 2009,twitter api,jos897,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",srsly hate stupid twitter api timeout thing soooo annoying
4,233,Wed May 27 00:34:21 UTC 2009,jquery book,jystewart,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too",really liked learning jquery book worth look
2,234,Wed May 27 00:34:47 UTC 2009,jquery book,cfbloggers,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631,jquery ui book review
4,235,Wed May 27 00:38:56 UTC 2009,goodby silverstein,CaerusMe,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT",interesting ad adobe goodby silverstein amp partners youtube adobe cs sens propre
4,236,Wed May 27 00:39:13 UTC 2009,goodby silverstein,HallandPartners,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!,goodby silverstein agency new site great
4,237,Wed May 27 00:39:21 UTC 2009,goodby silverstein,suedecrush,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*",rt goodby silversteins new site enjoy nice find
4,238,Wed May 27 00:41:13 UTC 2009,goodby silverstein,_imageworks,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!,ever amazing psyop goodby silverstein amp partners hp go play effects
4,239,Wed May 27 00:42:22 UTC 2009,wieden,dustinrowley,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9,top ten watched viralvideo chart love nike mostvaluablepuppets campaign wieden amp kennedy
4,251,Wed May 27 23:49:47 UTC 2009,g2,xzela,zomg!!! I have a G2!!!!!!!,zomg g
4,252,Wed May 27 23:49:59 UTC 2009,g2,mobiledreams,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl,ok lots buzz io lucky free g
4,253,Wed May 27 23:50:46 UTC 2009,g2,crashfaster,just got a free G2 android at google i/o!!!,got free g android google io
4,254,Wed May 27 23:51:30 UTC 2009,g2,dragonal,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio,guess ill retiring g start using developer g woot googleio
2,255,Wed May 27 23:56:56 UTC 2009,googleio,mastooo,At GWT fireside chat @googleio,gwt fireside chat
4,256,Wed May 27 23:59:18 UTC 2009,googleio,maex242,I am happy for Philip being at GoogleIO today,happy philip googleio today
4,317,Sat May 30 17:46:39 UTC 2009,lakers,specs20,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???,lakers played great cannot wait thursday night lakers vs
2,328,Sun May 31 06:51:14 UTC 2009,viral marketing,BrandKarma,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8",hi anyone great source advice viral marketing
4,329,Sun May 31 06:51:30 UTC 2009,viral marketing,mattcad,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK,judd apatow creates fake sitcom nbccom market new movie viral marketing best
2,330,Sun May 31 06:51:34 UTC 2009,viral marketing,grahamgrimshaw,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz",heres case study use viral marketing add people list
0,331,Sun May 31 06:51:44 UTC 2009,viral marketing,nicoleisms,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!,viral marketing fail acia pills brand oughta get shut hacking peoples messengers get msgs day arrrgh
4,388,Tue Jun 02 02:54:09 UTC 2009,"""night at the museum""",Cristinellaa,watching Night at The Museum . Lmao,watching night museum lmao
4,389,Tue Jun 02 02:54:12 UTC 2009,"""night at the museum""",MzJill,i loved night at the museum!!!,loved night museum
